freq,sex,prof_pos,unit,sectperf,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,T,RSE,HC,TOTAL,FI	56704 	56720 	55515 	55728 	53752 	54139 	55415 	58291 	61292 	65815 d	: 	: 
A,T,RSE,HC,TOTAL,FR	356445 	366299 	369999 	: 	396594 	416217 p	429959 p	: 	460792 	467519 	475576 	: 
A,T,RSE,HC,TOTAL,HR	11402 	11168 	10726 	11089 	12951 	13708 	13958 	15653 	16027 	16879 	17421 	: 
A,T,RSE,HC,TOTAL,HU	37019 	37803 	39190 	38418 	38915 	42729 	54970 b	58091 	62177 	65202 	70096 	: 
A,T,RSE,HC,TOTAL,IE	17895 	32084 	: 	30612 	: 	34721 	: 	36242 	: 	36541 	: 	: 
A,T,RSE,HC,TOTAL,IS	: 	3356 b	: 	: 	: 	3804 	3801 u	: 	: 	4703 	4754 u	: 
A,T,RSE,HC,TOTAL,IT	157960 	163925 	168074 	174327 	185916 b	195560 	210419 	222165 	217052 	217582 	225254 	: 
A,T,RSE,HC,TOTAL,JP	887067 d	892406 d	926671 d	907455 d	917725 d	930720 d	935658 d	942180 d	951726 d	983604 d	1003883 d	: 
A,T,RSE,HC,TOTAL,KR	401724 	410333 	437447 	453262 	460769 	482796 	514170 	538136 	558045 	586666 	601530 	: 
A,T,RSE,HC,TOTAL,LT	17677 	18083 	19371 	17293 	17746 	18767 	19198 	18811 	19431 	19609 	19589 	: 
A,T,RSE,HC,TOTAL,LU	: 	2713 	1994 	3207 	: 	3540 	: 	3722 	: 	3746 	: 	: 
A,T,RSE,HC,TOTAL,LV	7995 	7448 	7939 	7827 	7400 	7504 	7439 	7724 	8394 	9143 	8894 	: 
A,T,RSE,HC,TOTAL,ME	: 	1617 	1708 	1766 d	1509 	1528 	1596 	1586 	: 	: 	: 	: 
A,T,RSE,HC,TOTAL,MK	2231 	: 	: 	3772 	3697 	3346 	3464 	3395 	3426 	: 	2798 	: 
A,T,RSE,HC,TOTAL,MT	1438 	1383 	1349 	1412 	1470 	1546 	1513 	1559 	1647 	1865 	2125 	: 
A,T,RSE,HC,TOTAL,NL	107184 b	116610 b	117573 	118902 	124568 	124834 	130153 	136034 	139928 	143445 	150203 b	: 
A,T,RSE,HC,TOTAL,NO	46747 	47795 	50025 	52181 	54601 	57934 	59629 	61657 	63103 	66898 	68602 	: 
A,T,RSE,HC,TOTAL,PL	103627 	109611 	115375 	118494 	132547 	187905 	192833 	194607 	196420 	215761 	223738 	: 
A,T,RSE,HC,TOTAL,PT	81750 	78290 b	78736 	81005 	85780 	89659 	96123 	100823 	104681 	110953 	114582 	: 
A,T,RSE,HC,TOTAL,RO	27838 	27600 	27535 	27253 	27801 	27367 	27471 	27168 	28090 	29347 	29837 	: 
A,T,RSE,HC,TOTAL,RS	13249 	14643 	15163 	16338 	16592 	16182 	16213 	16399 	16662 	16962 	17512 	18417 
A,T,RSE,HC,TOTAL,RU	372620 e	369015 e	373905 e	379411 	: 	359793 	347854 	348221 	: 	: 	: 	: 
A,T,RSE,HC,TOTAL,SE	: 	101820 be	: 	108761 e	: 	107042 	: 	111179 	: 	139053 b	: 	: 
A,T,RSE,HC,TOTAL,SI	12362 	12111 	12155 	11308 	11282 	14079 	15388 	15925 	16328 	16282 	17015 	: 
A,T,RSE,HC,TOTAL,SK	25069 	24441 	25080 	24396 	26720 	26861 	28755 	28851 	28696 	30040 	30916 	: 
A,T,RSE,HC,TOTAL,TR	155133 	166097 	181544 	175520 	189225 	204039 	217014 	233563 	254029 	277109 	307519 	: 
A,T,RSE,HC,TOTAL,UK	442385 e	466689 	489181 e	496953 e	510980 e	520936 e	535477 e	: 	: 	: 	: 	: 
A,T,RSE,HC,TOTAL,US	: 	: 	: 	: 	: 	: 	: 	: 	1823522 e	1889780 e	: 	: 
